RF00001_1;URS0000435171
RF00001_2;URS000068421E
RF00001_3;URS00002DAFB9
RF00001_4;URS00005543AF
RF00001_5;URS000005DDB9
RF00001_6;URS000004FD93
RF00001_7;URS0000683A95
RF00001_8;URS00006F5703
RF00001_9;URS00001045F2
RF00001_10;URS000065FEE3
RF00001_11;URS00023170FB
RF00001_12;URS00003EEC55
RF00001_13;URS000065ACCD
RF00001_14;URS000067BFED
RF00001_15;URS0000036FEA
RF00001_16;URS0000683237
RF00001_17;URS0000469D01
RF00001_18;URS000072705D
RF00001_19;URS00006621F7
RF00001_20;URS000233401F
RF00001_21;URS00006713D3
RF00001_22;URS00007002BB
RF00001_23;URS00007126CF 
RF00001_24;URS00006CB108
RF00001_25;URS000063E3C4
RF00001_26;URS00006EAAD8
RF00001_27;URS000231296B
RF00001_28;URS0000626724
RF00001_29;URS0002317D3C
RF00001_30;URS0002328753
RF00001_31;URS00006A4E4F
RF00001_32;URS0000214453 
RF00001_33;URS000233213D
RF00001_34;URS000067652D
RF00001_35;URS0000716ADA
RF00001_36;URS000056EA56
RF00001_37;URS000038985A
RF00001_40;URS0000654C63
RF00001_41;URS00007216E0
RF00001_42;URS000039A235
RF00001_43;URS00002B6535
RF00001_44;URS0002328149
RF00001_45;URS0002314743
RF00001_46;URS000231D6A3
RF00001_47;URS00006F2120
RF00001_48;URS000231C7F5
RF00001_49;URS0000668975
RF00001_50;URS0002318D24
RF00001_51;URS000071F228
RF00001_52;URS000070344E
RF00001_53;URS0000726BF9
RF00001_54;URS00002320CE
RF00001_55;URS00001B8B3C
RF00001_56;URS00006C29EA
RF00001_57;URS00003A1941
RF00001_58;URS000232A42D
RF00001_59;URS0000633221
RF00001_60;URS000232BC2A
RF00001_62;URS00006DE862
RF00001_63;URS0000591698 
RF00001_64;URS00006BB2EA
RF00001_65;URS0002325D80
RF00001_66;URS0002313742
RF00001_67;URS0002313FA4 
RF00001_68;URS00006D78A7
RF00001_69;URS000064886C
RF00001_70;URS00007283ED
RF00001_71;URS000231FD7F
RF00001_72;URS00005F19AC
RF00001_73;URS0002312872
RF00001_74;URS000021759E
RF00001_76;URS00004402DF
RF00001_77;URS000068E407
RF00001_78;URS0002326FE5
RF00001_79;URS0002323F2E
RF00001_80;URS000067954F
